goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkMultiInsertDifferent_32_Shard-10     	 3043195	       393.4 ns/op	     361 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 2932184	       393.7 ns/op	     364 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 2989404	       415.9 ns/op	     362 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 2981935	       387.0 ns/op	     363 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 3153765	       388.2 ns/op	     358 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1573940	       754.7 ns/op	     809 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1572931	       749.2 ns/op	     811 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1604269	       751.0 ns/op	     811 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1589866	       760.4 ns/op	     811 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1586686	       759.1 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1562220	       765.3 ns/op	     809 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1564384	       754.1 ns/op	     809 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1571288	       752.3 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1566968	       746.4 ns/op	     810 B/op	      15 allocs/op
BenchmarkMultiInsertDifferent_256_Shard-10    	 1657141	       751.5 ns/op	     802 B/op	      15 allocs/op
BenchmarkMultiInsertSame-10                   	  853836	      1413 ns/op	     260 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  849574	      1414 ns/op	     261 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  850038	      1412 ns/op	     260 B/op	      11 allocs/op
BenchmarkMultiInsertSame-10                   	  842935	      1426 ns/op	     263 B/op	      11 allocs/op
